"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","Not applicable","Not applicable","Percent","41.78314"
"Afghanistan","2011","Not applicable","Not applicable","Percent","1.33123"
"Albania","2014","Not applicable","Not applicable","Percent","17.89908"
"Albania","2013","Not applicable","Not applicable","Percent","19.37652"
"Albania","2012","Not applicable","Not applicable","Percent","21.501"
"Albania","2011","Not applicable","Not applicable","Percent","20.2807"
"Albania","2010","Not applicable","Not applicable","Percent","19.13657"
"Albania","2009","Not applicable","Not applicable","Percent","14.32697"
"Albania","2008","Not applicable","Not applicable","Percent","10.49158"
"Albania","2007","Not applicable","Not applicable","Percent","6.63228"
"Albania","2006","Not applicable","Not applicable","Percent","2.29574"
"Albania","2005","Not applicable","Not applicable","Percent","1.55398"
"Albania","2004","Not applicable","Not applicable","Percent","0.76395"
"Albania","2003","Not applicable","Not applicable","Percent","0"
"Albania","2002","Not applicable","Not applicable","Percent","0"
"Albania","2001","Not applicable","Not applicable","Percent","0"
"Albania","2000","Not applicable","Not applicable","Percent","0"
"Albania","1999","Not applicable","Not applicable","Percent","0"
"Albania","1998","Not applicable","Not applicable","Percent","0"
"Algeria","2014","Not applicable","Not applicable","Percent","0"
"Algeria","2013","Not applicable","Not applicable","Percent","0"
"Algeria","2011","Not applicable","Not applicable","Percent","0"
"Algeria","2010","Not applicable","Not applicable","Percent","0"
"Andorra","2014","Not applicable","Not applicable","Percent","6.2249"
"Andorra","2013","Not applicable","Not applicable","Percent","5.20446"
"Andorra","2012","Not applicable","Not applicable","Percent","0"
"Andorra","2011","Not applicable","Not applicable","Percent","0"
"Andorra","2002","Not applicable","Not applicable","Percent","0"
"Angola","2013","Not applicable","Not applicable","Percent","57.68638"
"Angola","2011","Not applicable","Not applicable","Percent","44.23101"
"Angola","2006","Not applicable","Not applicable","Percent","33.9282"
"Angola","2005","Not applicable","Not applicable","Percent","33.22887"
"Angola","2004","Not applicable","Not applicable","Percent","34.53006"
"Angola","2003","Not applicable","Not applicable","Percent","33.22887"
"Angola","2002","Not applicable","Not applicable","Percent","32.36511"
"Anguilla","2008","Not applicable","Not applicable","Percent","81.48148"
"Anguilla","2007","Not applicable","Not applicable","Percent","81.48148"
"Anguilla","2006","Not applicable","Not applicable","Percent","72.34043"
"Anguilla","2005","Not applicable","Not applicable","Percent","100"
"Anguilla","2004","Not applicable","Not applicable","Percent","100"
"Anguilla","2003","Not applicable","Not applicable","Percent","100"
"Anguilla","2002","Not applicable","Not applicable","Percent","0"
"Anguilla","2001","Not applicable","Not applicable","Percent","0"
"Anguilla","2000","Not applicable","Not applicable","Percent","0"
"Anguilla","1999","Not applicable","Not applicable","Percent","0"
"Anguilla","1998","Not applicable","Not applicable","Percent","0"
"Antigua and Barbuda","2012","Not applicable","Not applicable","Percent","43.13616"
"Antigua and Barbuda","2011","Not applicable","Not applicable","Percent","70.78652"
"Antigua and Barbuda","2010","Not applicable","Not applicable","Percent","65.64103"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","70.20251"
"Argentina","2013","Not applicable","Not applicable","Percent","26.2019"
"Argentina","2012","Not applicable","Not applicable","Percent","25.97639"
"Argentina","2011","Not applicable","Not applicable","Percent","25.69233"
"Argentina","2010","Not applicable","Not applicable","Percent","27.07743"
"Argentina","2009","Not applicable","Not applicable","Percent","27.33815"
"Argentina","2008","Not applicable","Not applicable","Percent","26.89291"
"Argentina","2007","Not applicable","Not applicable","Percent","26.01831"
"Argentina","2006","Not applicable","Not applicable","Percent","25.21703"
"Argentina","2004","Not applicable","Not applicable","Percent","22.96053"
"Argentina","2003","Not applicable","Not applicable","Percent","22.14075"
"Argentina","2002","Not applicable","Not applicable","Percent","21.11712"
"Argentina","2001","Not applicable","Not applicable","Percent","20.08247"
"Argentina","1998","Not applicable","Not applicable","Percent","21.07487"
"Armenia","2014","Not applicable","Not applicable","Percent","12.09656"
"Armenia","2003","Not applicable","Not applicable","Percent","19.11699"
"Aruba","2014","Not applicable","Not applicable","Percent","50.44534"
"Aruba","2013","Not applicable","Not applicable","Percent","51.56647"
"Aruba","2012","Not applicable","Not applicable","Percent","21.21328"
"Aruba","2011","Not applicable","Not applicable","Percent","21.16613"
"Aruba","2010","Not applicable","Not applicable","Percent","19.18455"
"Aruba","2009","Not applicable","Not applicable","Percent","20.4918"
"Aruba","2008","Not applicable","Not applicable","Percent","15.12043"
"Aruba","2007","Not applicable","Not applicable","Percent","17.29391"
"Aruba","2006","Not applicable","Not applicable","Percent","13.27603"
"Aruba","2005","Not applicable","Not applicable","Percent","12.96296"
"Aruba","2004","Not applicable","Not applicable","Percent","13.49765"
"Aruba","2003","Not applicable","Not applicable","Percent","12.14115"
"Aruba","2002","Not applicable","Not applicable","Percent","13.88191"
"Aruba","2001","Not applicable","Not applicable","Percent","12.65356"
"Aruba","2000","Not applicable","Not applicable","Percent","13.18124"
"Australia","2014","Not applicable","Not applicable","Percent","8.54195"
"Australia","2013","Not applicable","Not applicable","Percent","8.47766"
"Australia","2012","Not applicable","Not applicable","Percent","8.86913"
"Australia","2011","Not applicable","Not applicable","Percent","8.78863"
"Australia","2010","Not applicable","Not applicable","Percent","7.5468"
"Australia","2009","Not applicable","Not applicable","Percent","5.837"
"Australia","2008","Not applicable","Not applicable","Percent","5.01752"
"Australia","2007","Not applicable","Not applicable","Percent","4.2884"
"Australia","2006","Not applicable","Not applicable","Percent","2.19458"
"Australia","2005","Not applicable","Not applicable","Percent","1.51983"
"Australia","2004","Not applicable","Not applicable","Percent","0.80259"
"Australia","2003","Not applicable","Not applicable","Percent","0.41234"
"Australia","2002","Not applicable","Not applicable","Percent","0.21606"
"Australia","2001","Not applicable","Not applicable","Percent","0.3846"
"Australia","2000","Not applicable","Not applicable","Percent","0.2512"
"Australia","1999","Not applicable","Not applicable","Percent","0.25117"
"Australia","1998","Not applicable","Not applicable","Percent","0.57491"
"Austria","2014","Not applicable","Not applicable","Percent","16.46324"
"Austria","2013","Not applicable","Not applicable","Percent","15.80325"
"Austria","2010","Not applicable","Not applicable","Percent","16.27331"
"Austria","2009","Not applicable","Not applicable","Percent","16.6896"
"Austria","2008","Not applicable","Not applicable","Percent","15.92466"
"Austria","2005","Not applicable","Not applicable","Percent","12.80471"
"Austria","2004","Not applicable","Not applicable","Percent","11.88444"
"Austria","2002","Not applicable","Not applicable","Percent","10.79849"
"Austria","1999","Not applicable","Not applicable","Percent","6.64075"
"Azerbaijan","2014","Not applicable","Not applicable","Percent","11.07722"
"Azerbaijan","2013","Not applicable","Not applicable","Percent","11.52567"
"Azerbaijan","2012","Not applicable","Not applicable","Percent","11.38535"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","12.03267"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","13.01355"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","12.4032"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","13.77719"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","14.17414"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","15.00996"
"Bahrain","2014","Not applicable","Not applicable","Percent","36.20287"
"Bahrain","2005","Not applicable","Not applicable","Percent","0"
"Bahrain","2003","Not applicable","Not applicable","Percent","0"
"Bangladesh","2014","Not applicable","Not applicable","Percent","43.02695"
"Bangladesh","2012","Not applicable","Not applicable","Percent","43.02696"
