"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2013","Not applicable","Not applicable","Percent","12.99152"
"Andorra","2014","Not applicable","Not applicable","Percent","29.96565"
"Andorra","2013","Not applicable","Not applicable","Percent","15.94293"
"Andorra","2006","Not applicable","Not applicable","Percent","30.23332"
"Andorra","2005","Not applicable","Not applicable","Percent","14.75559"
"Andorra","2004","Not applicable","Not applicable","Percent","18.00572"
"Andorra","2002","Not applicable","Not applicable","Percent","31.07454"
"Angola","2006","Not applicable","Not applicable","Percent","75.5895"
"Angola","2005","Not applicable","Not applicable","Percent","65.28921"
"Anguilla","2008","Not applicable","Not applicable","Percent","23.35469"
"Anguilla","2002","Not applicable","Not applicable","Percent","0"
"Anguilla","2000","Not applicable","Not applicable","Percent","0"
"Anguilla","1999","Not applicable","Not applicable","Percent","0"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","15.63166"
"Argentina","2013","Not applicable","Not applicable","Percent","16.61698"
"Argentina","2012","Not applicable","Not applicable","Percent","15.69813"
"Argentina","2011","Not applicable","Not applicable","Percent","15.17127"
"Argentina","2010","Not applicable","Not applicable","Percent","14.95767"
"Argentina","2009","Not applicable","Not applicable","Percent","15.75493"
"Argentina","2008","Not applicable","Not applicable","Percent","13.52151"
"Argentina","2007","Not applicable","Not applicable","Percent","12.51779"
"Argentina","2006","Not applicable","Not applicable","Percent","11.65749"
"Argentina","2005","Not applicable","Not applicable","Percent","10.60608"
"Argentina","2004","Not applicable","Not applicable","Percent","9.93572"
"Argentina","2003","Not applicable","Not applicable","Percent","10.43173"
"Argentina","2002","Not applicable","Not applicable","Percent","13.13769"
"Argentina","2001","Not applicable","Not applicable","Percent","16.17284"
"Argentina","2000","Not applicable","Not applicable","Percent","17.42082"
"Argentina","1999","Not applicable","Not applicable","Percent","17.74347"
"Argentina","1998","Not applicable","Not applicable","Percent","20.29326"
"Armenia","2014","Not applicable","Not applicable","Percent","8.1132"
"Armenia","2013","Not applicable","Not applicable","Percent","7.10188"
"Armenia","2012","Not applicable","Not applicable","Percent","6.81435"
"Armenia","2011","Not applicable","Not applicable","Percent","7.44855"
"Armenia","2010","Not applicable","Not applicable","Percent","7.67896"
"Armenia","2009","Not applicable","Not applicable","Percent","7.29324"
"Armenia","2008","Not applicable","Not applicable","Percent","7.53773"
"Aruba","2005","Not applicable","Not applicable","Percent","25.53493"
"Aruba","2004","Not applicable","Not applicable","Percent","28.0293"
"Aruba","2002","Not applicable","Not applicable","Percent","34.78996"
"Aruba","2001","Not applicable","Not applicable","Percent","32.89136"
"Aruba","2000","Not applicable","Not applicable","Percent","28.73411"
"Aruba","1999","Not applicable","Not applicable","Percent","31.48966"
"Australia","2013","Not applicable","Not applicable","Percent","22.74618"
"Australia","2012","Not applicable","Not applicable","Percent","19.31643"
"Australia","2011","Not applicable","Not applicable","Percent","19.95842"
"Australia","2010","Not applicable","Not applicable","Percent","21.41188"
"Australia","2009","Not applicable","Not applicable","Percent","20.3588"
"Australia","2008","Not applicable","Not applicable","Percent","19.78971"
"Australia","2007","Not applicable","Not applicable","Percent","20.15752"
"Australia","2006","Not applicable","Not applicable","Percent","20.7534"
"Australia","2005","Not applicable","Not applicable","Percent","21.70411"
"Australia","2000","Not applicable","Not applicable","Percent","25.97889"
"Austria","2013","Not applicable","Not applicable","Percent","36.09242"
"Austria","2012","Not applicable","Not applicable","Percent","40.77645"
"Austria","2011","Not applicable","Not applicable","Percent","35.00388"
"Austria","2010","Not applicable","Not applicable","Percent","37.89376"
"Austria","2009","Not applicable","Not applicable","Percent","40.9065"
"Austria","2008","Not applicable","Not applicable","Percent","42.09067"
"Austria","2007","Not applicable","Not applicable","Percent","45.66761"
"Austria","2006","Not applicable","Not applicable","Percent","46.60553"
"Austria","2005","Not applicable","Not applicable","Percent","48.41582"
"Austria","2004","Not applicable","Not applicable","Percent","47.61915"
"Austria","2003","Not applicable","Not applicable","Percent","44.73475"
"Austria","2002","Not applicable","Not applicable","Percent","45.10998"
"Austria","2001","Not applicable","Not applicable","Percent","40.13155"
"Austria","2000","Not applicable","Not applicable","Percent","42.94955"
"Austria","1999","Not applicable","Not applicable","Percent","50.69157"
"Austria","1998","Not applicable","Not applicable","Percent","51.74049"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","18.04833"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","19.55726"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","22.3463"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","13.45055"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","9.55658"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","8.37468"
"Bangladesh","2011","Not applicable","Not applicable","Percent","17.49314"
"Bangladesh","2009","Not applicable","Not applicable","Percent","24.53572"
"Bangladesh","2008","Not applicable","Not applicable","Percent","30.86184"
"Bangladesh","2007","Not applicable","Not applicable","Percent","31.93457"
"Bangladesh","2006","Not applicable","Not applicable","Percent","37.37869"
"Bangladesh","2004","Not applicable","Not applicable","Percent","37.78714"
"Bangladesh","2003","Not applicable","Not applicable","Percent","29.27342"
"Bangladesh","2002","Not applicable","Not applicable","Percent","35.14152"
"Bangladesh","2001","Not applicable","Not applicable","Percent","32.79651"
"Bangladesh","2000","Not applicable","Not applicable","Percent","38.0838"
"Bangladesh","1999","Not applicable","Not applicable","Percent","41.5877"
"Barbados","2010","Not applicable","Not applicable","Percent","40.18842"
"Barbados","2009","Not applicable","Not applicable","Percent","30.84366"
"Barbados","2007","Not applicable","Not applicable","Percent","37.23102"
"Barbados","2001","Not applicable","Not applicable","Percent","58.33118"
"Barbados","2000","Not applicable","Not applicable","Percent","42.24121"
