"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"American Samoa","2006","All genders","Not applicable","Percent","0"
"Andorra","2014","All genders","Not applicable","Percent","37.71324"
"Andorra","2013","All genders","Not applicable","Percent","9.89641"
"Andorra","2011","All genders","Not applicable","Percent","30.85201"
"Andorra","2010","All genders","Not applicable","Percent","31.17853"
"Andorra","2009","All genders","Not applicable","Percent","30.4672"
"Andorra","2006","All genders","Not applicable","Percent","24.83118"
"Andorra","2005","All genders","Not applicable","Percent","27.6818"
"Andorra","2004","All genders","Not applicable","Percent","20.98549"
"Angola","2006","All genders","Not applicable","Percent","3.47821"
"Anguilla","2008","All genders","Not applicable","Percent","0"
"Anguilla","2005","All genders","Not applicable","Percent","0"
"Anguilla","2003","All genders","Not applicable","Percent","21.03523"
"Anguilla","1998","All genders","Not applicable","Percent","6.90267"
"Antigua and Barbuda","2011","All genders","Not applicable","Percent","0"
"Antigua and Barbuda","2009","All genders","Not applicable","Percent","0"
"Antigua and Barbuda","2002","All genders","Not applicable","Percent","14.95413"
"Argentina","2013","All genders","Not applicable","Percent","0"
"Argentina","2012","All genders","Not applicable","Percent","0"
"Argentina","2011","All genders","Not applicable","Percent","0"
"Argentina","2010","All genders","Not applicable","Percent","0"
"Argentina","2009","All genders","Not applicable","Percent","0"
"Argentina","2008","All genders","Not applicable","Percent","0"
"Argentina","2007","All genders","Not applicable","Percent","0"
"Argentina","2006","All genders","Not applicable","Percent","0"
"Argentina","2004","All genders","Not applicable","Percent","0"
"Argentina","2003","All genders","Not applicable","Percent","0"
"Argentina","2002","All genders","Not applicable","Percent","0"
"Argentina","2001","All genders","Not applicable","Percent","0"
"Armenia","2014","All genders","Not applicable","Percent","5.58385"
"Armenia","2013","All genders","Not applicable","Percent","5.44682"
"Armenia","2012","All genders","Not applicable","Percent","8.805"
"Aruba","2005","All genders","Not applicable","Percent","17.19888"
"Aruba","2002","All genders","Not applicable","Percent","18.9028"
"Aruba","2001","All genders","Not applicable","Percent","18.18464"
"Aruba","2000","All genders","Not applicable","Percent","18.10518"
"Aruba","1999","All genders","Not applicable","Percent","19.12848"
"Aruba","1998","All genders","Not applicable","Percent","16.23417"
"Australia","2013","All genders","Not applicable","Percent","0"
"Australia","2012","All genders","Not applicable","Percent","0"
"Australia","2011","All genders","Not applicable","Percent","0"
"Australia","2010","All genders","Not applicable","Percent","1.06617"
"Australia","2009","All genders","Not applicable","Percent","1.10026"
"Australia","2008","All genders","Not applicable","Percent","0.86843"
"Australia","2007","All genders","Not applicable","Percent","0.77"
"Australia","2006","All genders","Not applicable","Percent","0.64804"
"Australia","2005","All genders","Not applicable","Percent","0.70177"
"Australia","2000","All genders","Not applicable","Percent","1.11581"
"Austria","2013","All genders","Not applicable","Percent","0"
"Austria","2012","All genders","Not applicable","Percent","0"
"Austria","2011","All genders","Not applicable","Percent","0"
"Austria","2010","All genders","Not applicable","Percent","0"
"Austria","2009","All genders","Not applicable","Percent","0"
"Austria","2008","All genders","Not applicable","Percent","0"
"Austria","2007","All genders","Not applicable","Percent","0"
"Austria","2006","All genders","Not applicable","Percent","0"
"Austria","2005","All genders","Not applicable","Percent","0"
"Austria","2004","All genders","Not applicable","Percent","0"
"Austria","2003","All genders","Not applicable","Percent","0"
"Austria","2002","All genders","Not applicable","Percent","3.50269"
"Austria","2001","All genders","Not applicable","Percent","3.30463"
"Austria","1999","All genders","Not applicable","Percent","1.61265"
"Austria","1998","All genders","Not applicable","Percent","1.60307"
"Azerbaijan","2011","All genders","Not applicable","Percent","13.46432"
"Azerbaijan","2010","All genders","Not applicable","Percent","12.81897"
"Azerbaijan","2009","All genders","Not applicable","Percent","12.53833"
"Azerbaijan","2008","All genders","Not applicable","Percent","12.70929"
"Azerbaijan","2007","All genders","Not applicable","Percent","11.90496"
"Azerbaijan","2006","All genders","Not applicable","Percent","16.00055"
"Azerbaijan","2005","All genders","Not applicable","Percent","15.13761"
"Azerbaijan","2004","All genders","Not applicable","Percent","12.38028"
"Azerbaijan","2003","All genders","Not applicable","Percent","11.91024"
"Azerbaijan","2002","All genders","Not applicable","Percent","11.35401"
"Azerbaijan","2001","All genders","Not applicable","Percent","10.84266"
