"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2013","Not applicable","Not applicable","Percent","5.86924"
"Algeria","2003","Not applicable","Not applicable","Percent","17.92788"
"Algeria","2002","Not applicable","Not applicable","Percent","17.902"
"Algeria","2000","Not applicable","Not applicable","Percent","17.44382"
"Algeria","1999","Not applicable","Not applicable","Percent","21.16064"
"Andorra","2014","Not applicable","Not applicable","Percent","11.66201"
"Andorra","2013","Not applicable","Not applicable","Percent","15.542"
"Andorra","2011","Not applicable","Not applicable","Percent","13.35612"
"Andorra","2010","Not applicable","Not applicable","Percent","13.34844"
"Andorra","2009","Not applicable","Not applicable","Percent","18.05243"
"Andorra","2007","Not applicable","Not applicable","Percent","11.36121"
"Andorra","2006","Not applicable","Not applicable","Percent","10.2303"
"Andorra","2005","Not applicable","Not applicable","Percent","7.17138"
"Andorra","2004","Not applicable","Not applicable","Percent","6.93064"
"Andorra","2002","Not applicable","Not applicable","Percent","6.2196"
"Anguilla","2008","Not applicable","Not applicable","Percent","24.62498"
"Antigua and Barbuda","2011","Not applicable","Not applicable","Percent","9.79205"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","12.46717"
"Argentina","2013","Not applicable","Not applicable","Percent","21.42592"
"Argentina","2012","Not applicable","Not applicable","Percent","19.97046"
"Argentina","2011","Not applicable","Not applicable","Percent","19.64361"
"Argentina","2010","Not applicable","Not applicable","Percent","17.87043"
"Argentina","2009","Not applicable","Not applicable","Percent","19.81091"
"Argentina","2008","Not applicable","Not applicable","Percent","17.32092"
"Argentina","2007","Not applicable","Not applicable","Percent","15.68375"
"Argentina","2006","Not applicable","Not applicable","Percent","14.94098"
"Argentina","2005","Not applicable","Not applicable","Percent","14.59502"
"Argentina","2004","Not applicable","Not applicable","Percent","11.78876"
"Argentina","2003","Not applicable","Not applicable","Percent","12.93168"
"Argentina","2002","Not applicable","Not applicable","Percent","15.29543"
"Argentina","2001","Not applicable","Not applicable","Percent","16.98852"
"Argentina","2000","Not applicable","Not applicable","Percent","15.82506"
"Argentina","1999","Not applicable","Not applicable","Percent","16.68324"
"Argentina","1998","Not applicable","Not applicable","Percent","15.18887"
"Armenia","2014","Not applicable","Not applicable","Percent","15.00012"
"Armenia","2013","Not applicable","Not applicable","Percent","15.35562"
"Armenia","2012","Not applicable","Not applicable","Percent","16.68235"
"Aruba","2005","Not applicable","Not applicable","Percent","17.61316"
"Aruba","2004","Not applicable","Not applicable","Percent","17.74369"
"Aruba","2002","Not applicable","Not applicable","Percent","19.39233"
"Aruba","2001","Not applicable","Not applicable","Percent","20.24011"
"Aruba","2000","Not applicable","Not applicable","Percent","19.20525"
"Aruba","1999","Not applicable","Not applicable","Percent","18.56194"
"Australia","2013","Not applicable","Not applicable","Percent","16.90514"
"Australia","2012","Not applicable","Not applicable","Percent","16.50674"
"Australia","2011","Not applicable","Not applicable","Percent","17.90215"
"Australia","2010","Not applicable","Not applicable","Percent","19.77622"
"Australia","2009","Not applicable","Not applicable","Percent","18.5047"
"Australia","2008","Not applicable","Not applicable","Percent","17.11652"
"Australia","2007","Not applicable","Not applicable","Percent","17.26538"
