"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Andorra","2014","All genders","Not applicable","Percent","13.73505"
"Andorra","2013","All genders","Not applicable","Percent","18.1804"
"Andorra","2011","All genders","Not applicable","Percent","14.40353"
"Andorra","2010","All genders","Not applicable","Percent","14.49861"
"Andorra","2009","All genders","Not applicable","Percent","12.77825"
"Andorra","2006","All genders","Not applicable","Percent","19.73496"
"Andorra","2005","All genders","Not applicable","Percent","16.70157"
"Andorra","2004","All genders","Not applicable","Percent","19.56591"
"Angola","2006","All genders","Not applicable","Percent","17.97169"
"Anguilla","2005","All genders","Not applicable","Percent","2.15439"
"Anguilla","2003","All genders","Not applicable","Percent","4.87868"
"Anguilla","1998","All genders","Not applicable","Percent","1.59313"
"Antigua and Barbuda","2009","All genders","Not applicable","Percent","0.31083"
"Antigua and Barbuda","2002","All genders","Not applicable","Percent","2.19015"
"Argentina","2010","All genders","Not applicable","Percent","7.33617"
"Argentina","2009","All genders","Not applicable","Percent","7.50671"
"Argentina","2008","All genders","Not applicable","Percent","7.9291"
"Argentina","2007","All genders","Not applicable","Percent","7.49608"
"Argentina","2006","All genders","Not applicable","Percent","7.10417"
"Argentina","2004","All genders","Not applicable","Percent","8.28329"
"Argentina","2003","All genders","Not applicable","Percent","8.52256"
"Argentina","2002","All genders","Not applicable","Percent","7.79779"
"Argentina","2001","All genders","Not applicable","Percent","8.29546"
"Armenia","2012","All genders","Not applicable","Percent","9.70458"
"Aruba","2005","All genders","Not applicable","Percent","7.02704"
"Aruba","2004","All genders","Not applicable","Percent","6.80493"
"Aruba","2002","All genders","Not applicable","Percent","6.26228"
"Aruba","2001","All genders","Not applicable","Percent","5.96875"
"Aruba","2000","All genders","Not applicable","Percent","6.14657"
"Aruba","1999","All genders","Not applicable","Percent","5.84245"
"Aruba","1998","All genders","Not applicable","Percent","5.58162"
"Australia","2013","All genders","Not applicable","Percent","2.72082"
"Australia","2011","All genders","Not applicable","Percent","2.18615"
"Australia","2010","All genders","Not applicable","Percent","1.07478"
"Australia","2009","All genders","Not applicable","Percent","1.23587"
"Australia","2008","All genders","Not applicable","Percent","0.92112"
"Australia","2007","All genders","Not applicable","Percent","0.93536"
"Australia","2006","All genders","Not applicable","Percent","1.01549"
"Australia","2005","All genders","Not applicable","Percent","1.07876"
"Australia","2000","All genders","Not applicable","Percent","1.23943"
"Austria","2013","All genders","Not applicable","Percent","8.16282"
"Austria","2012","All genders","Not applicable","Percent","7.48296"
"Austria","2011","All genders","Not applicable","Percent","9.80444"
"Austria","2010","All genders","Not applicable","Percent","9.80609"
"Austria","2009","All genders","Not applicable","Percent","8.43819"
"Austria","2008","All genders","Not applicable","Percent","7.75899"
"Austria","2007","All genders","Not applicable","Percent","7.4802"
"Austria","2006","All genders","Not applicable","Percent","7.25745"
"Austria","2005","All genders","Not applicable","Percent","7.4156"
"Austria","2004","All genders","Not applicable","Percent","7.20313"
"Austria","2003","All genders","Not applicable","Percent","7.61722"
"Austria","2002","All genders","Not applicable","Percent","7.67152"
"Austria","2001","All genders","Not applicable","Percent","7.26554"
"Austria","1999","All genders","Not applicable","Percent","6.89897"
"Austria","1998","All genders","Not applicable","Percent","7.4278"
"Azerbaijan","2011","All genders","Not applicable","Percent","7.0157"
"Azerbaijan","2010","All genders","Not applicable","Percent","7.1314"
"Azerbaijan","2009","All genders","Not applicable","Percent","6.82634"
"Azerbaijan","2008","All genders","Not applicable","Percent","7.01806"
"Azerbaijan","2007","All genders","Not applicable","Percent","6.67355"
"Azerbaijan","2006","All genders","Not applicable","Percent","6.85329"
"Azerbaijan","2005","All genders","Not applicable","Percent","6.91184"
"Azerbaijan","2004","All genders","Not applicable","Percent","7.38773"
"Azerbaijan","2003","All genders","Not applicable","Percent","7.81165"
"Azerbaijan","2002","All genders","Not applicable","Percent","8.11295"
"Azerbaijan","2001","All genders","Not applicable","Percent","8.11076"
"Azerbaijan","2000","All genders","Not applicable","Percent","7.62643"
"Bahrain","2011","All genders","Not applicable","Percent","0"
"Bahrain","2010","All genders","Not applicable","Percent","0"
"Bangladesh","2011","All genders","Not applicable","Percent","0"
"Bangladesh","2010","All genders","Not applicable","Percent","0"
"Bangladesh","2009","All genders","Not applicable","Percent","0"
"Bangladesh","2008","All genders","Not applicable","Percent","0"
"Bangladesh","2007","All genders","Not applicable","Percent","0"
"Bangladesh","2006","All genders","Not applicable","Percent","0"
"Bangladesh","2004","All genders","Not applicable","Percent","0"
"Bangladesh","2002","All genders","Not applicable","Percent","0"
"Bangladesh","2001","All genders","Not applicable","Percent","0"
"Bangladesh","2000","All genders","Not applicable","Percent","0"
