"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","Not applicable","Not applicable","Percent","2.47765"
"Afghanistan","2012","Not applicable","Not applicable","Percent","2.48133"
"Afghanistan","2011","Not applicable","Not applicable","Percent","1.67143"
"Afghanistan","1989","Not applicable","Not applicable","Percent","0"
"Afghanistan","1988","Not applicable","Not applicable","Percent","0"
"Afghanistan","1986","Not applicable","Not applicable","Percent","0"
"Afghanistan","1985","Not applicable","Not applicable","Percent","0"
"Afghanistan","1984","Not applicable","Not applicable","Percent","0"
"Afghanistan","1982","Not applicable","Not applicable","Percent","0"
"Afghanistan","1981","Not applicable","Not applicable","Percent","0"
"Afghanistan","1980","Not applicable","Not applicable","Percent","0"
"Afghanistan","1975","Not applicable","Not applicable","Percent","0"
"Albania","2014","Not applicable","Not applicable","Percent","5.77866"
"Albania","2013","Not applicable","Not applicable","Percent","5.5491"
"Albania","2012","Not applicable","Not applicable","Percent","5.48745"
"Albania","2011","Not applicable","Not applicable","Percent","5.39414"
"Albania","2010","Not applicable","Not applicable","Percent","5.19261"
"Albania","2009","Not applicable","Not applicable","Percent","4.87713"
"Albania","2008","Not applicable","Not applicable","Percent","5.90312"
"Albania","2007","Not applicable","Not applicable","Percent","5.41678"
"Albania","2006","Not applicable","Not applicable","Percent","4.83809"
"Albania","2005","Not applicable","Not applicable","Percent","4.27776"
"Albania","2001","Not applicable","Not applicable","Percent","2.16422"
"Albania","1997","Not applicable","Not applicable","Percent","0"
"Albania","1996","Not applicable","Not applicable","Percent","0"
"Albania","1995","Not applicable","Not applicable","Percent","0"
"Albania","1994","Not applicable","Not applicable","Percent","0"
"Albania","1993","Not applicable","Not applicable","Percent","0"
"Albania","1992","Not applicable","Not applicable","Percent","0"
"Albania","1991","Not applicable","Not applicable","Percent","0"
"Albania","1990","Not applicable","Not applicable","Percent","0"
"Albania","1989","Not applicable","Not applicable","Percent","0"
"Albania","1988","Not applicable","Not applicable","Percent","0"
"Albania","1987","Not applicable","Not applicable","Percent","0"
"Albania","1986","Not applicable","Not applicable","Percent","0"
"Albania","1985","Not applicable","Not applicable","Percent","0"
"Albania","1984","Not applicable","Not applicable","Percent","0"
"Albania","1983","Not applicable","Not applicable","Percent","0"
"Albania","1982","Not applicable","Not applicable","Percent","0"
"Albania","1981","Not applicable","Not applicable","Percent","0"
"Albania","1975","Not applicable","Not applicable","Percent","0"
"Algeria","2014","Not applicable","Not applicable","Percent","0.92548"
"Algeria","2012","Not applicable","Not applicable","Percent","0.64396"
"Algeria","2011","Not applicable","Not applicable","Percent","0.5159"
"Algeria","2010","Not applicable","Not applicable","Percent","0.13676"
"Algeria","2009","Not applicable","Not applicable","Percent","0.1662"
"Algeria","2008","Not applicable","Not applicable","Percent","0.263"
"Algeria","2007","Not applicable","Not applicable","Percent","0.19504"
"Algeria","2006","Not applicable","Not applicable","Percent","0"
"Algeria","2005","Not applicable","Not applicable","Percent","0"
"Algeria","2004","Not applicable","Not applicable","Percent","0"
"Algeria","2003","Not applicable","Not applicable","Percent","0"
"Algeria","2002","Not applicable","Not applicable","Percent","0"
"Algeria","2001","Not applicable","Not applicable","Percent","0"
"Algeria","2000","Not applicable","Not applicable","Percent","0"
"Algeria","1999","Not applicable","Not applicable","Percent","0"
"Algeria","1998","Not applicable","Not applicable","Percent","0"
"Algeria","1995","Not applicable","Not applicable","Percent","0"
"Algeria","1994","Not applicable","Not applicable","Percent","0"
"Algeria","1993","Not applicable","Not applicable","Percent","0"
"Algeria","1992","Not applicable","Not applicable","Percent","0"
"Algeria","1991","Not applicable","Not applicable","Percent","0"
"Algeria","1990","Not applicable","Not applicable","Percent","0"
"Algeria","1989","Not applicable","Not applicable","Percent","0"
"Algeria","1988","Not applicable","Not applicable","Percent","0"
"Algeria","1987","Not applicable","Not applicable","Percent","0"
"Algeria","1986","Not applicable","Not applicable","Percent","0"
"Algeria","1985","Not applicable","Not applicable","Percent","0"
"Algeria","1984","Not applicable","Not applicable","Percent","0"
"Algeria","1983","Not applicable","Not applicable","Percent","0"
"Algeria","1982","Not applicable","Not applicable","Percent","0"
"Algeria","1981","Not applicable","Not applicable","Percent","0"
"Algeria","1976","Not applicable","Not applicable","Percent","0.81862"
"Algeria","1975","Not applicable","Not applicable","Percent","0.86625"
"Andorra","2014","Not applicable","Not applicable","Percent","1.84502"
"Andorra","2013","Not applicable","Not applicable","Percent","1.74533"
"Andorra","2012","Not applicable","Not applicable","Percent","1.96126"
"Andorra","2011","Not applicable","Not applicable","Percent","1.97044"
"Andorra","2010","Not applicable","Not applicable","Percent","2.06091"
"Andorra","2009","Not applicable","Not applicable","Percent","2.01162"
"Andorra","2008","Not applicable","Not applicable","Percent","2.04809"
"Andorra","2007","Not applicable","Not applicable","Percent","1.62638"
"Andorra","2006","Not applicable","Not applicable","Percent","1.75439"
"Andorra","2005","Not applicable","Not applicable","Percent","1.61567"
"Andorra","2004","Not applicable","Not applicable","Percent","1.45403"
"Andorra","2003","Not applicable","Not applicable","Percent","1.27958"
